分类,书名,作者,简介
传记,猫鱼,陈冲,"★备受期待的华语重磅新书，电影人陈冲非虚构长篇作品
——从上海童年的老房子到旧金山的家；从少女时代“小花”剧组到《末代皇帝》《太阳照常升起》的银幕背后；从祖辈的往事到父母、哥哥三代知识分子的精神历程……《猫鱼》是当代不可多得的回忆录，是知识人的心灵史，电影艺术家的传记，也是一部当代女性的成长之书、勇气之书。
★金宇澄、罗新、姜文、许知远诚意推荐
——“《猫鱼》是高水准的自传体散文集，既是个体生命史，又是时代大记录，一字一句，真气充盈。”（罗新）
“陈冲建立的纸上王国，细腻、自由、直率，她的人与事，尤其几代知识分子的历史，填补了文学上海的叙事空白。”（金宇澄）
“《猫鱼》是陈冲珍贵的个人记忆，写得鲜活、深邃。她毫不畏惧地邀请你踏入其中，经历她的人生……这种勇气，不是谁都有。”（姜文）
★人的生命就像猫鱼，始终卑微、弱小，却坚韧地活着。在日常之中，期待奇...
(展开全部)
★人的生命就像猫鱼，始终卑微、弱小，却坚韧地活着。在日常之中，期待奇迹发生
——“‘猫鱼’是当年的上海话，菜场出售一种实该漏网的小鱼，用以喂猫，沪语发音‘毛鱼’。随着以后猫粮的出现，它在人们的记忆中消失了……”上海之冬，一只“猫鱼”死而复生，成了我和哥哥童年唯一的奇迹。“猫鱼”是生命里转瞬即逝的灵感，是人的本性里被遗忘或隐藏的真相，是日常生活中体验的每一个奇迹。
★《收获》文学榜长篇非虚构获奖作品
——“为读者展现了一个文学意义上独特又深沉的陈冲，她以克制内敛的笔法向着家族历史征进，踏进如烟的家族往事又不沉溺其中，通过众多日常的生活细节完成了对家人形象的刻写和赋形，从而与历史生活达成了深沉又动人的联系，作品呈现出的沉郁悲悯让人为之动容。”
《猫鱼》是电影人陈冲的长篇非虚构作品。祖辈与母亲的故事、平江路老房子的岁月，“小花”摄制组大篷车的日子，独自踏上异国留学之旅，每一部电影不为人知的幕后，生命中的爱与痛楚、挣扎，经由作者的回望，跃然纸上。写家族故事，是独特的上海叙事、中国知识分子的心灵史；从《小花》到《末代皇帝》《意》《太阳照常升起》等等的银幕前后，是电影艺术家的传记；从上海童年到异国打拼，一段段人生旅程，是女性兼具激情与柔情的私语。
陈冲，1961年生于上海。演员、电影导演、作家。主演电影《小花》《末代皇帝》《红玫瑰白玫瑰》《误杀》等，执导电影《英格力士》《世间有她》等。"
传记,埃隆·马斯克传,[美]沃尔特·艾萨克森,"著名传记作家艾萨克森以近距离的观察视角，揭开了如今全球引人注目、富有争议性的创新企业家的神秘面纱：他善于突破常规，引领全球进入电动汽车时代、私人太空探索时代和人工智能时代，还将推特收入囊中。
埃隆·马斯克小时候在南非生活，那时他经常遭受校园欺凌，但同父亲给他造成的情感创伤相比，这些伤痛都微不足道。他的童年浸透了人性，这将他塑造为一个坚强而又脆弱的男孩，他对风险的容忍度极高，渴望营造出富有戏剧性的生活，让人类文明成为星际文明是他的宏大目标。
2008年，SpaceX的火箭在前三次发射过程中接连爆炸，特斯拉也即将破产，这是他生命中地狱般的至暗时期。在飓风来临时，他是最兴奋的人之一。动荡的环境和剧烈的冲突对他有着莫大的吸引力，有时他甚至渴望这些东西，无论是在工作中，还是在他努力维持却未能持久的恋爱关系中。每当面临艰巨的挑战，紧张感常常让他夜不能寐，甚至呕吐...
(展开全部)
2008年，SpaceX的火箭在前三次发射过程中接连爆炸，特斯拉也即将破产，这是他生命中地狱般的至暗时期。在飓风来临时，他是最兴奋的人之一。动荡的环境和剧烈的冲突对他有着莫大的吸引力，有时他甚至渴望这些东西，无论是在工作中，还是在他努力维持却未能持久的恋爱关系中。每当面临艰巨的挑战，紧张感常常让他夜不能寐，甚至呕吐不止，但这些都是他赖以为生的养分。
2022年年初，也就是在SpaceX成功发射了31颗卫星、特斯拉卖出了近100万辆汽车、埃隆成为地球上最富有的人一年后，对于自己一再挑起戏剧性冲突的背后动机，他略带感伤地谈起了他的反思。
他说：“我需要改变我的思维模式，不能一直处于危机战备状态，我这种状态已经持续了大概14年，或者说我人生的大部分时间。”这更像是一个自怨自艾的评价，而不是在表达新年新气象的决心。他一边做出了这些反思和保证，一边还在秘密买入推特的股票。
两年来，艾萨克森形影不离地跟访马斯克，参加他大大小小的会议，与他一起走访工厂，深度采访了他本人，以及他的家人、朋友、同事、前妻和对手。艾萨克森揭开了马斯克内幕故事的面纱，其中有荡气回肠的胜利，也有跌宕起伏的乱局，令人拍案称奇。这些故事回答了这样一个问题：那个在马斯克心底驱使着他的恶魔，是不是也是推动创新与进步所必需的呢？
沃尔特·艾萨克森（Walter Isaacson）
著名传记作家，毕业于哈佛大学，杜兰大学历史系教授，历任美国阿斯彭研究所首席执行官，曾任美国《时代》杂志总编和美国有线电视新闻网董事长。畅销书《史蒂夫·乔布斯传》《列奥那多·达·芬奇传》《解码者》《富兰克林传》《爱因斯坦传》《创新者》作者。2023年被授予美国国家人文奖章。"
传记,汉娜·阿伦特的三次逃离,[美] 肯·克里姆斯坦　著绘,"👀《福布斯》年度最佳图像小说，将哲学思辨转化为视觉叙事
👀 首部阿伦特图像传记，一次对阿伦特的图像重构
👀 获多项美国图书大奖、翻译成9种语言
👀 著名插画家肯·克里姆斯坦用图像演绎哲学和政治思想，将阿伦特生命中的“三次逃离”视觉化
👀 在画格中再现一个有别于以往的阿伦特形象以及同时代知识分子群像
👀 不止是传记，更是一场穿越时空的思想对话
◎ 内容简介
本书是美国著名插画家肯·克里姆斯坦为20世纪杰出女哲学家汉娜·阿伦特创作的图像小说形式的传记，集中描绘了阿伦特人生中的三次重大“逃离”，她的思想轨迹，以及她与其他思想家、艺术家、学者之间的交集与思想碰撞。本书幽默但不失深刻地刻画了一位复杂、有争议，但极其勇敢的女性，灵动的图画形式令深奥的思想理论变得既浅显易懂又过目难忘。
本书曾获多项美国图书大奖，目前已译成九种语言出版，包括德语、法语、意大利语、西...
(展开全部)
本书曾获多项美国图书大奖，目前已译成九种语言出版，包括德语、法语、意大利语、西班牙语、日语、韩语等。
◎ 编辑推荐
逃离，阿伦特一生的关键词。
她生于一个失落的世界，迷惘的国度，她拒绝哲学家标签，洞察现实；矛盾、不自洽，正是她的思想活力源泉。她是流亡的思想者，她的理论用“爱”对抗撕裂。
这是一个以漫画家独有的轻松幽默方式讲述的人生故事：柯尼斯堡的童年，马堡求学，柏林成家，巴黎流亡，纽约成名，穿插着知识分子群像，还有谍战片般的“虎口脱险”。
汉娜・阿伦特的人生轨迹被归结为三次逃离。从逃离德国，到逃离海德格尔、逃离哲学，再到逃离主流，从不停息，因为她信奉：活着与思想是一回事。
◎ 专业推荐
肯·克里姆斯坦这部关于哲学家汉娜·阿伦特生平的图像回忆录，不仅关乎阿伦特本人，更通过她的思想探讨了如何与世界共处、自由的意义、极权主义的危险，以及人类思考的力量而非盲从。克里姆斯坦以清晰、诙谐与渊博诠释了阿伦特的思想，这些思想至今仍在回响。
——罗兹·查斯特，美国国家书评人协会奖得主
作为历经黑暗时代的流亡知识分子，汉娜·阿伦特的人生堪称传奇，几乎是一个思想者的人生。克里姆斯坦以非凡的想象力将其浓缩为一部立体的图像小说，既是一个标志性人物的故事，也是一代人的安魂曲。
——莫里斯·迪克斯坦，《伊甸园之门》作者
精彩、优美，且恰逢其时。这些书页充满了魔力。
——迈克尔·蒂瑟兰，艾斯纳最佳漫画奖得主
无与伦比的阅读体验，既迷人，又令人振奋。
——杰罗姆·科恩，阿伦特·布吕歇文学信托基金会理事
20世纪原创思想家的惊人一生，由一位擅长长篇叙事的漫画家讲述……一场节奏绝佳的表演，让晦涩的政治理论既易懂又难忘。
——《科克斯书评》
克里姆斯坦施展了狡黠的魔法：读者被诱入一部鲜活的娱乐小说，一旦沉浸，门悄然关闭，将他们困在一个无法放下的严肃故事中。我们被牢牢吸引，着迷且好奇至终章。
——《哈达萨杂志》
本书的艺术成就是其最大成功。阿伦特的生平与思想以幽默多样的风格呈现，令人想起克里姆斯坦为《纽约客》创作的漫画……展现了阿伦特著作的广度、她作为思想家的行动主义承诺，以及她直面战后犹太生活核心问题的勇气。
——《加拿大犹太新闻》
本书以漫画媒介呈现阿伦特的方式独一无二——将她的激情与身体性注入生命，将她的密集著作提炼至本质，让我们感受到她思考的热度……亲密、即时且真实。
——《前进报》
本书具有惊人的原创性，提供了传统文学批评无法触及的洞见。克里姆斯坦的精妙绘画与挑衅性、创新性文本，照亮了哲学家汉娜·阿伦特争议性人生中的鲜有人知的维度。
——《耶路撒冷邮报》
克里姆斯坦在书中让思想显得如此鲜活……魏玛柏林咖啡馆场景尤其展现了他风格的推进力，他流畅传达自由对话的能力，以及切换节奏的敏捷。
——《芝加哥读者》
◎ 作者
肯·克里姆斯坦（Ken Krimstein），美国著名漫画家、作家、教师。任教于德保罗大学和芝加哥艺术学院，兼任柏林美国学院的研究员。为《纽约客》《华尔街日报》《纽约时报》《纽约观察家报》《芝加哥论坛报》等撰稿并绘画。现居美国伊利诺伊州埃文斯顿。2018年出版 的图像小说《汉娜·阿伦特的三次逃离》获《福布斯》年度最佳图像小说、伯纳德·J.布罗梅尔传记和回忆录奖，入围美国国家犹太图书奖最终决选。2021年出版的图像小说《当我长大时》被评为美国国家公共电台（NPR）年度最佳图书、《华盛顿邮报》年度最佳图书。2024年出版图像小说新作《卡夫卡乡的爱因斯坦：坠入兔穴，带回宇宙》。
◎ 译者
刘楠楠，毕业于北京大学日耳曼文学系和艺术系。德国美因茨大学翻译学博士。译著有《友谊的辩证法：阿多诺、本雅明通信集1928—1940》《哈耶克的维特根斯坦传：文本...
刘楠楠，毕业于北京大学日耳曼文学系和艺术系。德国美因茨大学翻译学博士。译著有《友谊的辩证法：阿多诺、本雅明通信集1928—1940》《哈耶克的维特根斯坦传：文本及其历史》《维特根斯坦私人笔记1914—1916》。"
传记,在峡江的转弯处,陈行甲,"《在峡江的转弯处》是陈行甲的自传体随笔，从童年岁月写起，写母亲，写爱人；写了从大学毕业到基层工作九年多的生活经历；回顾了作者在巴东任县委书记期间的工作和生活；讲述了作者转场公益几年来的经历和感受。从本书中，作者用鲜活的故事和大量的细节讲述了一个普通人的爱与成长，以及如何在世事变幻中守住内心和实践的知行合一。
陈行甲
湖北人，本科毕业于湖北大学，硕士毕业于清华大学，中共党员。历任镇长、（县级市）市长、县委书记等职。2016年任期届满被提拔后辞去公职，创立深圳市恒晖公益基金会，致力于开展公益创新、大病救助、青少年心理健康和教育关怀、防灾救灾等方面的公益项目。现为深圳市基金会发展促进会执行会长、深圳市恒晖公益基金会理事长、深圳特区社会工作学院教授、深圳市人大常委会社会建设委员会委员。
2015年被评为全国优秀县委书记；获“2017年度中国十大社会推动者”、“2018年度中国公益人物”、2019年《我是演说家》全国总冠军等荣誉。"
传记,邓小平时代,【美】傅高义 (Ezra.F.Vogel),"邓小平深刻影响了中国历史和世界历史的走向，也改变了每一个当代中国人的命运。解读邓小平的政治生涯及其行为逻辑，就是解读当代中国，解读个人命运背后的历史变局。
哈佛大学傅高义教授倾十年心力完成的巨著《邓小平时代》，是对邓小平跌宕起伏的一生以及中国惊险崎岖的改革开放之路的全景式描述。作者以丰富的史料、国内外重要的研究成果、档案资料和为数众多的独家访谈为基础，对邓小平个人性格及执政风格进行了深层分析，并对中国改革开放史进行了完整而独到的阐释。全书人物、事件众多，既有对毛泽东、周恩来、邓小平、陈云等人相互关系的细致解读，又有对三中全会、权力过渡、中美建交、政改试水、经济特区、一国两制、九二南巡等重大事件和决策的深入分析。全书持论严谨、脉络清晰、观点鲜明、叙述生动，力图使人物言行符合历史情境，对改革开放的历史进程亦时有独特看法，引人深思，被誉为邓小平研究“纪念碑...
(展开全部)
哈佛大学傅高义教授倾十年心力完成的巨著《邓小平时代》，是对邓小平跌宕起伏的一生以及中国惊险崎岖的改革开放之路的全景式描述。作者以丰富的史料、国内外重要的研究成果、档案资料和为数众多的独家访谈为基础，对邓小平个人性格及执政风格进行了深层分析，并对中国改革开放史进行了完整而独到的阐释。全书人物、事件众多，既有对毛泽东、周恩来、邓小平、陈云等人相互关系的细致解读，又有对三中全会、权力过渡、中美建交、政改试水、经济特区、一国两制、九二南巡等重大事件和决策的深入分析。全书持论严谨、脉络清晰、观点鲜明、叙述生动，力图使人物言行符合历史情境，对改革开放的历史进程亦时有独特看法，引人深思，被誉为邓小平研究“纪念碑式”的著作。
读懂《邓小平时代》，读懂这段历史，读懂“仍然生活在邓小平时代”的我们自己的现在和未来。
傅高义（EZRA F. VOGEL)，哈佛大学亨利• 福特二世社会学荣休教授，费正清东亚研究中心前主任。1930年7月出生于美国中西部的俄亥俄州的一个小镇。1950年毕业于俄亥俄州韦斯利大学。1958年获哈佛大学社会学博士学位。在1963—1964年成为哈佛的博士后，学习中文和历史；被认为是美国唯一的一位对中日两国事务都精通的学者。
他1961年开始在哈佛学习中文和中古历史，在哈佛有着“中国先生”的称号。1972年他作为费正清的继任人，成为东亚研究中心的第二任主任。1998年被选入美国人文社会科学院，一直是受中国政府重视的汉学家和中国问题专家。曾撰有《日本第一》、《日本的中产阶级》、《重整旗鼓一一重建美国实例分析》等著作。70年代始，对我国广东社会经济情况进行考察和研究。撰有《共产主义制度下的广东:一个省会的规划和政治(1949-1968年）》。"
传记,活过,蔡澜,"本书是蔡澜的首部自传，记录了蔡澜先生的生活经历和他豁达的处世哲学。蔡澜说：人老了，就爱怀旧，还是多写一点旧事吧。他将这本书称作是“一本快乐回忆集”。书中，蔡澜回忆自己的一生，包括在潮州和新加坡生活的孩童时代；包括在日本的留学时代；包括因缘际会，得六先生赏识，到邵氏工作的经历；还包括定居香港之后的生活。在书中，可以看到蔡澜因电影工作，到不同国家居住，期间他结识到无数朋友，与朋友之间的趣事杂谈。书中的文章，包罗万象，有谈人生、谈写作、谈金钱、谈生意、谈女人、谈身世、谈自己的人生年代，等等。文章短小精悍，文笔风趣幽默，每篇文章都体现了蔡澜豁达的人生观和他智慧的处世哲学。
蔡澜
1941年生于新加坡，祖籍广东潮州，现居中国香港。
知名作家、生活家、美食家、电影人、主持人。与金庸、倪匡、黄霑并称“香港四大才子”。
《新周刊》年度生活家，《开讲啦》特邀讲师，《舌尖上的中国》《风味人间》总顾问。
吃喝玩乐无不在行，文学、电影、书法、金石样样精通，被无数人奉为人生典范。著有《我喜欢人生快活的样子》《学做妙人》《人间好玩》《过好这一生》《命运好好玩》《时间，是绝对的妙药》等。"
传记,侥幸求生,[美] 阿尔·帕西诺,"★永远的“教父”阿尔· 帕西诺首部自传，自述从无名小卒到影史偶像的励志人生
——绝对诚实的成长自白、绝不妥协的艺术宣言、绝无替代的有趣灵魂
面对人生的种种困难，帕西诺从未放弃表演，因为这是他一生的挚爱。
★空降畅销书排行榜，媒体一致强烈好评
——“很少有像这本书一样具有文学性的名人回忆录。本书既有趣又深刻，讲述了帕西诺穷困的成长环境、出演的经典作以及成为偶像巨星的历程。”——《人物》杂志
“阅读这本书，我们会觉得看到的依然是那个处于事业巅峰，令人目眩神迷的阿尔·帕西诺。”——《华尔街日报》
“直击灵魂的文字，读这本书就像是徜徉于过去50年的美国电影历史中。”——《洛杉矶时报》
★在这本用心书写的回忆录中，阿尔·帕西诺用清晰的记忆和幽默的语言，记录了不羁的少年岁月，青涩的成长经历，和成名后的收获与迷茫。
在每个不知所措的时刻，帕西诺都凭借对表演艺术纯粹...
(展开全部)
在每个不知所措的时刻，帕西诺都凭借对表演艺术纯粹的爱找到了拯救和希望。打开本书，我们会感受到年龄带来的智慧，以及智慧背后依然难掩的年轻锋芒。
阿尔·帕西诺（Al Pacino）
1940年4月出生，演员、导演。帕西诺成长于纽约市南布朗克斯区，是美国戏剧界和电影界独一无二、经久不衰的人物。曾就读于表演艺术高中，并在赫伯特·伯格霍夫工作室跟随查理·劳顿学习表演，后在演员工作室跟随导师李·斯特拉斯伯格学习表演。
曾九次获得奥斯卡奖提名，提名影片包括《教父》《冲突》《教父2》《热天午后》《爱尔兰人》等，并于 1992 年凭借《闻香识女人》获得奥斯卡最佳男主角奖。此外曾获得十九项金球奖提名，获得四个奖项；三项托尼奖提名，获得两个奖项；三项艾美奖提名，获得两个奖项。他还获得过一次了不起的奥比奖。
帕西诺是肯尼迪中心荣誉奖获得者，并曾获美国电影学会终身成就奖、美国国家艺术勋章和金球奖终身成就奖。"
传记,出发点,[日] 宫崎骏,"“读懂宫崎骏，这一部就够了！”
《出发点》是宫崎骏亲自讲述创作与人生的重磅随笔集，全面呈现这位动画大师自1963年踏入动画界，从1979年初次执导剧场版作品起，直到1996年的创作轨迹。从《风之谷》《龙猫》到《魔女宅急便》，书中不仅揭秘经典作品的诞生过程，更展现了他对自然的热爱和对人类命运的思考。其中既有关于动画的独到见解，也有在乡间小屋躺着读漫画的闲适时光。
“身处这个混沌的时代，我只能一次又一次回到自己的出发点，去寻找令人欣慰和兴奋的东西。”全书汇集动画制作、日常随笔、兴趣分享、深度对谈等丰富内容，特别收录宫崎骏亲绘插图。译文经吉卜力工作室官方审订，带领人们深入这位动画大师的创意世界——在这里，不仅能感受到他始终如一的创作热忱，更能获得直面生活的勇气：那是在认清现实后，依然选择热爱与创造的永恒力量。
-------
★ ""我想做的，就是我的动画。...
(展开全部)
★ ""我想做的，就是我的动画。""宫崎骏33年创作生涯全记录，简体中文版首度引进！
★汇集导演企划书、随笔、所思所想等90余篇珍贵文章，深度展现动画大师的灵感源泉与人生轨迹
★ 亲述《龙猫》《魔女宅急便》《风之谷》等作品企划历程，揭秘角色性格与故事看点的精准构思
★收录多幅宫崎骏亲绘插图，精装装帧，译文风趣流畅，回味悠长，吉卜力工作室官方审订
★原来导演本人比作品更有趣：既会为制作进度头疼，也会在乡下小屋躺着看漫画……
★与司马辽太郎、梦枕貘等各界大家深度对谈，为创作注入新视角和更丰富的阐释空间
★挚友高畑勋倾情书写后记，记录并肩创作的珍贵友谊与动人往事。
★翻开它，就如同漫步在宫崎骏的动画世界，更能获得重新出发的勇气与动力
◎我有许多弥足珍贵的战友，阿宫是其中最特别的一个。他个性鲜明，鲜活有趣。大家常说他的坏话，但到头来还是会依赖他。——动画导演 高畑勋
◎宫崎骏永远不会描述成长的残酷与激烈冲突。他心目中的成长，就像《龙猫》中两姐妹种下的橡树种子，在爱与希望的呵护下，慢慢发芽，平静接受生活中的种种磨炼。——《三联生活周刊》
◎正如他许多次总结的，他透过电影持续向孩子们传达的是：“或许你尚未遇见，但这个世界上真的有许多美丽的东西，或美好的事情。”——《南方人物周刊》
宫崎骏
动画电影导演。1941年出生于东京。1963年毕业于学习院大学政治经济学部，后进入东映动画工作。1985年，参与创立吉卜力工作室。目前担任三鹰之森吉卜力美术馆的名誉馆长。
代表作包括《风之谷》《天空之城》《龙猫》《幽灵公主》《千与千寻》《哈尔的移动城堡》《崖上的波妞》《风起》等，最新导演作品为《你想活出怎样的人生》。
凭借《千与千寻》获第52届柏林国际电影节金熊奖、第75届奥斯卡金像奖最佳动画长片奖和第62届威尼斯国际电影节终身成就金狮奖。2012年获得日本“文化功劳者”的称号。2014年11月获奥斯卡金像奖终身成就奖。
2024年3月，《你想活出怎样的人生》获得第96届奥斯卡金像奖最佳动画长片奖，时隔21年再次获得此奖项。同年5月，吉卜力工作室获得第77届戛纳国际电影节荣誉金棕榈奖。9月，获得被誉为亚洲诺贝尔奖的麦格赛赛奖。"
传记,因为独特,李翔,"“详谈”系列是知名商业记者李翔撰写的系列人物访谈，“详谈·商业现场”是对仍在一线的企业家的采访，带着来自现场的粗粝与力量、残酷与希望，是一部以人为单位的价值创造史。
本书是李翔对泡泡玛特创始人王宁的访谈实录，分五部分全面展现了王宁的创业故事、商业智慧和泡泡玛特的发展历程。书中不仅探讨了品牌定位、IP商业模式、市场运营理念，还涉及管理核心、全球化战略，以及王宁的《福布斯》专访和高管自述。
本书帮助中国中小企业家、创业者深入理解新消费市场的需求和发展趋势，并用泡泡玛特的商业故事证明：每个小品类都可以诞生伟大的公司。
李翔，作家，《详谈》丛书作者，纪录片《激流时代》与播客“高能量”主理人。
著有《商业领袖访谈录》《商业的心灵》《与商业明星一起旅行》《谁更了解中国》《趋势：商业巨变时代的300条建议》等。
最近两年的作品包括《详谈》系列图书（累计销量近50万册）、播客《高能量》（近12万订阅）以及同腾讯视频合作的纪录片《激流时代》（豆瓣8.3分，被网友评为“2023年开年最好的纪录片”）。"
艺术,对画,[意] 雅各布·韦内齐亚尼,"给所有热爱艺术的人，
也给所有认为艺术高冷的人。
35幅世界名画，35段时代故事，见证13—19世纪艺术史的笔触流转。
越学会看懂细节，你离艺术就越近。
在伽利略的望远镜问世之前，就已有人画下银河的准确图像？
元素杂乱无序、画面并非人间的诡谲油画，实则描绘动荡的欧洲 ？
由麦穗和水果拼成的肖像画，竟包含画家对王权的致敬与向往？
……
揭示艺术作品中隐藏细节的含义，
探索艺术家创作背后的真实渴望。
画中的细节还原作品所处的社会背景和艺术家的创作理念，
名画中的细节，是由材料、颜色、符号、姿态、人性等绘画语言写就的故事。
🎨【编辑推荐】
1.新锐青年学者向大众分享艺术知识
雅各布·韦内齐亚尼曾在巴黎第一大学攻读八年，获得艺术史博士学位，同时也是一位富有人文气质的青年学者、科普博主。自2017年开始，他活跃在意大利的电视节目与互联网，在Instagram上...
(展开全部)
雅各布·韦内齐亚尼曾在巴黎第一大学攻读八年，获得艺术史博士学位，同时也是一位富有人文气质的青年学者、科普博主。自2017年开始，他活跃在意大利的电视节目与互联网，在Instagram上积累了超10万名粉丝。他的写作兼具专业性和新锐性，以专业背景结合极强的传播能力，架起大众与艺术的桥梁。
2.通过画中细节，发掘时代与人的故事
用放大镜般的目光，探索画布上容易被忽略的角落——一道倾斜的光线，一枚不起眼的饰品、一块不起眼的布料，一道酒杯上的倒影……本书通过讲解画面中的细节，还原出作品所处的社会背景和艺术家的创作理念，为我们揭开表象之下更丰富的历史与人文脉络。
3.越学会看懂作品中的细节，你离艺术就越近
本书的语言足够清晰、易读，配以作品局部的高清放大图，让读者的视角能足够贴近、足够深入；还在每章开头以“#关键词”的形式标注出鉴赏作品的要点；同时也旨在启发读者，从自行探索作品细节中发现乐趣，提高鉴赏力与判断力。
4.精装大开本，内文特种纸全彩印刷，高精度还原细节，阅读体验舒适。
🎨【内容简介】
元素杂乱无序、画面并非人间的诡谲油画，实则描绘动荡的欧洲？
每位画家在作画时，都企图透过各种各样的细节抓住观众的眼睛。这些细节中充满着人性的力量，向我们讲述着一个个人物事迹、科学发现、战争故事、经济危机、政治危机、宗教危机……本书列举了35组艺术史上的名作，挖掘画面中的细节之处，让我们感受艺术家的梦想和梦魇、野心和恐惧、欢乐和痛苦。
我们在观赏一幅画的时候，每位画家都试图吸引我们的注意力，因此才在画中埋下细节，那是由材料、颜色、符号、姿态、人性等绘画语言写就的故事。——本书作者
🎨【读者评论】
对于所有热爱艺术的人，也包括那些曾觉得艺术无聊、但如今想要“读懂”艺术并获得感动的人，我都推荐《对画》这本书。——Goodreads读者Clizia
一有机会我就会读这本书，作者既年轻又有才华。这是一本值得留存、阅读的书，满足了人们的好奇心。强烈推荐。——Amazon读者Massi
雅各布·韦内齐亚尼
意大利知名艺术科普博主，巴黎第一大学（先贤祠-索邦大学）艺术史博士。他在米兰天主教圣心大学教授艺术传播课程，经常作为艺术专家参与意大利电视节目的录制。自2020年以来，他已出版了三部艺术史相关的书籍，并持续在社交媒体分享传播艺术知识。"
艺术,女性、艺术与社会,[美] 惠特尼·查德威克,"艺术史分析的术语既不“中立”，也不“普遍”。相反，它们强化人们广泛持有的社会价值观和信念，影响教学、出版、买卖艺术品等各类活动。——惠特尼•查德威克
【编辑推荐】
◎女性主义艺术史领域重量级经典，堪称必读的女性艺术标准教科书
本书初版完成于1990年，是著名女性主义艺术史学家惠特尼•查德威克的代表作，其开拓性书写为女性主义艺术史这一领域的无数后来者树立了榜样。本书是英国著名艺术出版机构Thames & Hudson 经典书系“艺术世界”（World of Art）中尤其受欢迎的一册，多年来一直是欧美高校女性艺术史课程的参考书、资料书、工具书，深受广大师生好评。
◎关于女性参与艺术创作的百科全书式著作，全面梳理自中世纪以来女性艺术家的创作情况和女性艺术史的发展脉络
本书以艺术的历史发展为主线，时间为串联线索，聚焦自中世纪以来至今女性参与视觉艺术的历史，...
(展开全部)
本书以艺术的历史发展为主线，时间为串联线索，聚焦自中世纪以来至今女性参与视觉艺术的历史，详尽地讨论了艺术史上重要的女性艺术家、艺术作品和相关艺术潮流，以及塑造女性创作和再现的意识形态。全书围绕“女性”“艺术”“社会”三个关键词，将古往今来女性的艺术创作与社会、政治、文化和经济的历史语境密切关联，呈现出一部揭示艺术与性别、阶级、权力之复杂关系的社会史。
◎30多年5次重新修订与扩写，与时俱进紧跟艺术史研究全新方向，持续回答“为什么没有伟大的女艺术家？”之问
本书历经多次修订，恰当及时地反映着女性主义艺术史研究在方法和涵盖范围上的变化。作者尽可能涉及了女性艺术家历史研究的主要问题和新的研究方向，并总结了到目前为止已经完成的研究。
第六版新增新一代女性艺术史学家弗拉维娅•弗里杰里（Flavia Frigeri）撰写的前言和结语，总结了自琳达•诺克林的开创性文章《为什么没有伟大的女艺术家？》发表以来，艺术史研究领域的全新发展。详尽的参考书目和资料来源，为读者进一步探究女性艺术创作和相关研究提供了丰富的文献。
◎特种纸精装，图文并茂，超过300幅高清图片，外方指定印厂专业印刷
【媒体推荐】
一波新的学术思潮涌现在她的文本中……查德威克为我们重新思考那些熟悉的图像提供了全新的方法。——《女性艺术期刊》
【内容简介】
《女性、艺术与社会》首次出版于1990 年，历经5 次扩写和修订，是女性主义艺术史领域代表性的著作之一。这是一本研究型、资料型、工具型指南，旨在对女性参与视觉艺术的历史提供一般性介绍，讨论在绘画、雕塑或相关媒介中从事专业工作的女性，以及塑造女性创作和再现的意识形态。
艺术史学家惠特尼• 查德威克梳理了自中世纪以来女性艺术家们的创作情况和女性艺术史的发展脉络，始终围绕“女性—艺术—社会”的互动关系，具体分析了不同社会文化背景、不同时期、不同地域的女性艺术家面临的具体情况。本书还汇编了关于女性艺术家历史研究的主要问题和新的方向，在分析古往今来女性创作艺术现象的同时，也为读者更全面地理解当下艺术状况和社会问题提供了参照与经验。
作者简介：
[美] 惠特尼•查德威克（Whitney Chadwick），著名艺术史学家，旧金山州立大学荣休教授。她专攻20 世纪欧洲艺术和美国艺术，在女性艺术、超现实主义艺术、现代主义艺术领域贡献卓著，代表作有《女性、艺术与社会》《女性艺术家与超现实主义运动》《重要的另一半：创造力与亲密关系》《告别缪斯：爱情、战争与超现实主义中的女性》等。
译者简介：
李思璟，毕业于北京第二外国语学院，新闻学专业与英语专业双学士。曾就读于比利时鲁汶大学社会与文化人类学专业。译作有《邪恶的幸福》《弗朗西斯•培根：肖像习作》等"
